1,0.63,-1.677,0.4,10.172,5.568,1.965,8.516,4.152,1.416,16.646,10.114,3.229

1,4.308,-1.215,2.451,11.05,5.114,2.229,9.402,3.777,2.352,19.794,10.506,7.989

1,9.389,1.363,6.468,-4.969,-11.157,3.311,3.484,-2.194,1.986,1.716,-6.486,7.038

2,0.233,-21.484,34.121,-0.038,-21.094,26.718,37.239,-0.391,114.408,27.755,-19.214,103.317

2,1.535,-28.479,51.235,3.401,-24.062,38.032,37.684,0.219,119.754,42.063,-25.623,204.304

2,15.44,-2.199,15.355,6.322,-4.444,4.019,5.878,-33.538,91.58,10.001,-22.542,63.687

2,5.665,-1.66,2.51,1.215,-29.413,54.028,38.033,0.169,128.526,41.593,-1.357,107.139

2,12.118,-1.217,12.459,5.833,-20.194,37.375,37.752,0.384,121.343,32.499,0.498,101.885

0,0.462,-0.278,0.039,0.499,0.237,0.007,10.166,9.178,0.089,11.029,9.166,0.326

0,1.061,0.145,0.068,8.268,7.802,0.016,6.267,4.908,0.1,15.596,12.869,0.456

0,7.232,6.371,0.047,7.462,7.07,0.011,1.13,-0.013,0.085,15.824,13.428,0.363

0,-3.746,-4.144,0.014,8.987,8.768,0.003,0.412,-0.107,0.018,5.629,4.517,0.088

0,7.099,6.839,0.008,-0.316,-0.511,0.004,7.295,6.639,0.028,14.068,12.989,0.079

0,8.419,7.994,0.014,5.756,5.57,0.003,0.759,0.221,0.021,14.884,13.834,0.085

0,-8.003,-8.784,0.046,4.905,4.527,0.009,-0.797,-1.778,0.083,-3.922,-6.035,0.352

1,-6.598,-14.529,5.077,11.04,4.889,2.928,4.554,-2.975,2.842,-1.078,-6.285,2.116

1,-0.833,-10.86,7.04,5.831,1.796,1.136,10.801,4.906,2.606,14.224,-3.371,24.079
1,0.649,0.122,0.017,5.613,5.163,0.017,8.191,7.597,0.015,14.05,13.322,0.028
